Distance_(mm),Gray_Value
12.6492,213.578
12.6628,213.389
12.6764,213.712
12.6899,213.841
12.7035,214.210
12.7171,214.757
12.7307,215.196
12.7442,215.714
12.7578,216.301
12.7714,216.876
12.7849,217.388
12.7985,217.587
12.8121,217.370
12.8257,217.654
12.8392,218.032
12.8528,218.870
12.8664,219.621
12.8800,220.014
12.8935,220.271
12.9071,220.053
12.9207,219.851
12.9342,219.656
12.9478,219.220
12.9614,218.767
12.9750,218.708
12.9885,218.447
13.0021,218.254
13.0157,218.134
13.0292,218.607
13.0428,218.784
13.0564,218.648
13.0700,218.801
13.0835,219.007
13.0971,219.159
13.1107,219.227
13.1243,219.215
13.1378,219.079
13.1514,218.769
13.1650,218.341
13.1785,217.899
13.1921,217.547
13.2057,217.013
13.2193,216.186
13.2328,215.705
13.2464,215.622
13.2600,215.582
13.2735,215.735
13.2871,216.024
13.3007,216.314
13.3143,216.581
13.3278,216.482
13.3414,216.216
13.3550,216.027
13.3686,216.078
13.3821,215.838
13.3957,215.611
13.4093,215.460
13.4228,215.579
13.4364,215.807
13.4500,216.075
13.4636,216.145
13.4771,216.346
13.4907,216.399
13.5043,216.519
13.5178,216.371
13.5314,216.390
13.5450,216.308
13.5586,216.165
13.5721,216.052
13.5857,216.088
13.5993,216.244
13.6128,216.777
13.6264,217.547
13.6400,218.130
13.6536,218.717
13.6671,219.730
13.6807,220.876
13.6943,222.180
13.7079,223.385
13.7214,224.797
13.7350,226.261
13.7486,227.782
13.7621,229.305
13.7757,230.144
13.7893,230.305
13.8029,230.534
13.8164,230.995
13.8300,231.466
13.8436,232.189
13.8571,232.634
13.8707,232.682
13.8843,233.032
13.8979,233.704
13.9114,234.642
13.9250,235.548
13.9386,236.284
13.9522,236.740
13.9657,237.293
13.9793,238.017
13.9929,238.947
14.0064,239.888
14.0200,240.989
14.0336,241.725
14.0472,242.556
14.0607,242.964
14.0743,243.285
14.0879,243.268
14.1014,242.315
14.1150,241.453
14.1286,240.687
14.1422,240.108
14.1557,239.382
14.1693,238.846
14.1829,238.572
14.1965,238.937
14.2100,239.288
14.2236,239.865
14.2372,240.423
14.2507,240.647
14.2643,240.336
14.2779,239.541
14.2915,238.767
14.3050,237.857
14.3186,237.208
14.3322,236.737
14.3457,236.533
14.3593,236.186
14.3729,236.066
14.3865,235.808
14.4000,235.774
14.4136,235.353
14.4272,235.376
14.4407,235.348
14.4543,235.659
14.4679,236.201
14.4815,236.801
14.4950,237.271
14.5086,237.335
14.5222,237.382
14.5358,237.329
14.5493,236.975
14.5629,236.289
14.5765,235.678
14.5900,234.897
14.6036,234.047
14.6172,233.527
14.6308,233.748
14.6443,234.472
14.6579,235.585
14.6715,236.170
14.6850,236.804
14.6986,236.845
14.7122,236.696
14.7258,236.100
14.7393,234.957
14.7529,234.187
14.7665,234.026
14.7801,233.612
14.7936,233.012
14.8072,233.169
14.8208,234.991
14.8343,237.902
14.8479,240.761
14.8615,242.922
14.8751,244.905
14.8886,247.466
14.9022,250.502
14.9158,252.696
14.9293,253.281
14.9429,252.953
14.9565,251.899
14.9701,250.512
14.9836,248.943
14.9972,247.916
15.0108,247.075
15.0244,246.428
15.0379,246.158
15.0515,246.140
15.0651,245.892
15.0786,245.368
15.0922,244.884
15.1058,244.472
15.1194,244.057
15.1329,243.742
15.1465,243.180
15.1601,242.440
15.1736,241.527
15.1872,240.784
15.2008,239.927
15.2144,239.604
15.2279,240.021
15.2415,241.457
15.2551,243.354
15.2686,245.658
15.2822,247.004
15.2958,247.374
15.3094,247.549
15.3229,248.003
15.3365,248.517
15.3501,248.969
15.3637,249.241
15.3772,249.248
15.3908,249.084
15.4044,248.677
15.4179,247.926
15.4315,247.636
15.4451,246.989
15.4587,245.876
15.4722,245.026
15.4858,244.268
15.4994,244.280
15.5129,243.806
15.5265,243.392
15.5401,242.608
15.5537,241.967
15.5672,241.197
15.5808,240.318
15.5944,239.540
15.6080,239.312
15.6215,238.623
15.6351,238.572
15.6487,238.738
15.6622,240.051
15.6758,241.542
15.6894,242.648
15.7030,243.190
15.7165,243.026
15.7301,242.945
15.7437,242.545
15.7572,242.817
15.7708,243.482
15.7844,244.272
15.7980,245.056
15.8115,245.063
15.8251,244.845
15.8387,244.678
15.8523,244.978
15.8658,244.795
15.8794,244.591
15.8930,244.754
15.9065,245.366
15.9201,246.077
15.9337,246.282
15.9473,246.416
15.9608,246.420
15.9744,246.205
15.9880,245.271
16.0015,243.411
16.0151,240.983
16.0287,238.749
16.0423,238.274
16.0558,238.966
16.0694,240.415
16.0830,241.133
16.0965,241.373
16.1101,242.007
16.1237,242.919
16.1373,244.622
16.1508,245.280
16.1644,244.892
16.1780,244.303
16.1916,243.256
16.2051,241.922
16.2187,241.304
16.2323,240.991
16.2458,241.222
16.2594,241.819
16.2730,241.559
16.2866,240.591
16.3001,239.524
16.3137,239.178
16.3273,239.389
16.3408,239.436
16.3544,238.794
16.3680,238.561
16.3816,239.378
16.3951,241.018
16.4087,243.436
16.4223,245.395
16.4359,246.935
16.4494,248.202
16.4630,248.578
16.4766,248.468
16.4901,248.288
16.5037,248.400
16.5173,248.121
16.5309,247.542
16.5444,246.742
16.5580,245.943
16.5716,245.838
16.5851,246.180
16.5987,246.726
16.6123,247.319
16.6259,247.535
16.6394,247.512
16.6530,247.770
16.6666,247.908
16.6802,247.032
16.6937,246.296
16.7073,246.026
16.7209,247.389
16.7344,249.045
16.7480,250.758
16.7616,252.687
16.7752,254.187
16.7887,254.705
16.8023,254.820
16.8159,254.577
16.8294,254.504
16.8430,254.578
16.8566,254.672
16.8702,254.647
16.8837,254.832
16.8973,254.979
16.9109,255.000
16.9244,255.000
16.9380,255.000
16.9516,255.000
16.9652,255.000
16.9787,255.000
16.9923,255.000
17.0059,255.000
17.0195,255.000
17.0330,255.000
17.0466,255.000
17.0602,255.000
17.0737,255.000
17.0873,255.000
17.1009,255.000
17.1145,255.000
17.1280,255.000
17.1416,255.000
17.1552,255.000
17.1687,255.000
17.1823,255.000
17.1959,255.000
17.2095,255.000
17.2230,255.000
17.2366,255.000
17.2502,255.000
17.2638,255.000
17.2773,255.000
17.2909,255.000
17.3045,255.000
17.3180,255.000
17.3316,255.000
17.3452,255.000
17.3588,255.000
17.3723,255.000
17.3859,255.000
17.3995,255.000
17.4130,255.000
17.4266,255.000
17.4402,255.000
17.4538,255.000
17.4673,255.000
17.4809,255.000
17.4945,255.000
17.5081,255.000
17.5216,255.000
17.5352,255.000
17.5488,255.000
17.5623,255.000
17.5759,255.000
17.5895,255.000
17.6031,255.000
17.6166,255.000
17.6302,255.000
17.6438,255.000
17.6573,255.000
17.6709,255.000
17.6845,255.000
17.6981,255.000
17.7116,255.000
17.7252,255.000
17.7388,255.000
17.7523,255.000
17.7659,255.000
17.7795,255.000
17.7931,255.000
17.8066,255.000
17.8202,255.000
17.8338,255.000
17.8474,255.000
17.8609,255.000
17.8745,255.000
17.8881,255.000
17.9016,255.000
17.9152,255.000
17.9288,255.000
17.9424,255.000
17.9559,255.000
17.9695,255.000
17.9831,255.000
17.9966,255.000
18.0102,255.000
18.0238,255.000
18.0374,255.000
