Distance_(mm),Gray_Value
32.3226,239.113
32.3467,239.051
32.3708,239.522
32.3949,240.695
32.4191,242.274
32.4432,243.915
32.4673,245.234
32.4914,244.756
32.5155,242.747
32.5396,240.678
32.5637,239.291
32.5878,238.346
32.6119,238.820
32.6360,238.995
32.6601,239.651
32.6842,240.362
32.7083,240.347
32.7324,239.838
32.7565,239.217
32.7806,238.793
32.8047,238.826
32.8288,239.780
32.8529,240.471
32.8770,240.160
32.9011,238.524
32.9252,238.718
32.9493,239.099
32.9734,239.194
32.9975,239.470
33.0216,239.247
33.0457,239.559
33.0698,240.312
33.0939,240.423
33.1180,240.175
33.1422,240.321
33.1663,240.644
33.1904,240.621
33.2145,240.685
33.2386,239.680
33.2627,239.730
33.2868,239.918
33.3109,240.398
33.3350,241.053
33.3591,240.641
33.3832,240.288
33.4073,239.681
33.4314,240.408
33.4555,240.729
33.4796,240.592
33.5037,240.511
33.5278,240.279
33.5519,239.840
33.5760,239.068
33.6001,237.886
33.6242,236.342
33.6483,234.792
33.6724,234.644
33.6965,236.057
33.7206,238.027
33.7447,239.403
33.7688,239.723
33.7929,239.022
33.8170,238.585
33.8412,237.431
33.8653,236.226
33.8894,234.798
33.9135,234.247
33.9376,233.983
33.9617,234.729
33.9858,236.045
34.0099,235.631
34.0340,235.059
34.0581,234.513
34.0822,234.104
34.1063,234.296
34.1304,234.714
34.1545,234.867
34.1786,235.448
34.2027,236.264
34.2268,236.798
34.2509,236.598
34.2750,236.165
34.2991,235.487
34.3232,234.798
34.3473,234.393
34.3714,232.600
34.3955,230.670
34.4196,230.593
34.4437,230.795
34.4678,231.183
34.4919,231.634
34.5160,231.275
34.5401,231.201
34.5643,230.962
34.5884,230.423
34.6125,229.147
34.6366,227.882
34.6607,228.783
34.6848,229.164
34.7089,228.720
34.7330,228.263
34.7571,227.453
34.7812,227.572
34.8053,228.427
34.8294,228.728
34.8535,228.532
34.8776,228.783
34.9017,229.499
34.9258,230.166
34.9499,230.338
34.9740,229.946
34.9981,228.925
35.0222,228.359
35.0463,228.185
35.0704,228.255
35.0945,229.507
35.1186,229.910
35.1427,229.376
35.1668,227.817
35.1909,227.747
35.2150,227.804
35.2391,227.939
35.2633,228.742
35.2874,230.183
35.3115,230.719
35.3356,229.317
35.3597,227.415
35.3838,225.310
35.4079,223.065
35.4320,223.121
35.4561,223.543
35.4802,223.510
35.5043,222.684
35.5284,221.893
35.5525,220.763
35.5766,220.178
35.6007,220.198
35.6248,219.900
35.6489,219.344
35.6730,218.856
35.6971,218.642
35.7212,219.246
35.7453,219.975
35.7694,220.471
35.7935,220.489
35.8176,219.715
35.8417,219.031
35.8658,218.688
35.8899,218.118
35.9140,217.795
35.9381,217.609
35.9622,218.061
35.9864,218.802
36.0105,220.217
36.0346,221.398
36.0587,222.554
36.0828,222.563
36.1069,222.326
36.1310,222.519
36.1551,222.288
36.1792,221.826
36.2033,220.535
36.2274,218.223
36.2515,217.042
36.2756,215.923
36.2997,215.449
36.3238,215.608
36.3479,214.716
36.3720,213.570
36.3961,212.416
36.4202,212.164
36.4443,212.602
36.4684,213.884
36.4925,214.170
36.5166,214.374
36.5407,214.061
36.5648,213.625
36.5889,213.630
36.6130,214.429
36.6371,214.931
36.6612,214.639
36.6854,213.533
36.7095,212.036
36.7336,212.098
36.7577,212.373
36.7818,212.316
36.8059,212.992
36.8300,213.288
36.8541,212.519
36.8782,212.558
36.9023,212.835
36.9264,213.008
36.9505,212.855
36.9746,212.412
36.9987,211.703
37.0228,211.609
37.0469,211.306
37.0710,210.660
37.0951,209.071
37.1192,207.574
37.1433,208.159
37.1674,208.179
37.1915,208.405
37.2156,208.510
37.2397,207.959
37.2638,207.521
37.2879,207.307
